,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm,scoring,id,segmento,lead_category
21,API,Chat,No,No,1,0,0,0.0,Email Opened,OTROS,Working Professional,No,No,No,No,No,No,15.0,15.0,No,0.9175709077895207,636562,4,Hot
22,Landing Page Submission,Organic Search,No,No,0,18,264,6.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,16.0,17.0,Yes,0.7089693649277885,583969,3,Medium
23,Landing Page Submission,Direct Traffic,No,No,1,6,94,2.0,SMS Sent,OTROS,Working Professional,No,No,No,No,No,No,14.0,16.0,Yes,0.7821624085182319,629956,4,Hot
24,API,Google,No,No,1,5,1143,1.25,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.2899631267596593,600597,5,Cold
25,Landing Page Submission,Direct Traffic,No,No,1,3,256,3.0,Page Visited on Website,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.04943593170373237,608120,0,Cold
26,Landing Page Submission,Direct Traffic,No,No,0,4,261,4.0,SMS Sent,Supply Chain Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.25127109324916846,603501,3,Cold
27,API,Chat,No,No,1,6,781,2.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes,0.868462439836426,632274,1,Hot
28,Landing Page Submission,Google,No,No,0,5,426,5.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,18.0,No,0.6617937503260253,582647,3,Medium
29,Landing Page Submission,Google,No,No,1,3,1905,3.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.7751999045245599,606086,2,Hot
30,API,Chat,No,No,1,0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,15.0,16.0,No,0.48695894884620583,580465,0,Cold
31,Landing Page Submission,Organic Search,No,No,1,20,213,4.0,SMS Sent,Travel and Tourism,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.3117772034299361,595985,0,Cold
32,Landing Page Submission,Direct Traffic,No,No,0,2,32,2.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.06064260972965554,596628,2,Cold
33,Landing Page Submission,Google,No,No,1,4,1847,2.0,SMS Sent,Business Administration,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes,0.9636066231593908,633912,0,Hot
34,Landing Page Submission,Google,No,No,1,5,284,2.5,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.32766060582534356,610294,0,Cold
35,API,Chat,No,No,0,0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.25647620127668264,583831,5,Cold
36,Landing Page Submission,Direct Traffic,No,No,1,3,1051,3.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.5991296314415893,600768,0,Cold
37,Lead Add Form,Reference,No,No,1,3,1620,2.4,OTROS,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.944112143733863,616685,5,Hot
38,Landing Page Submission,Google,No,No,1,3,370,1.5,SMS Sent,International Business,Unemployed,No,No,No,No,No,No,14.0,18.0,No,0.4369228722352757,641940,0,Cold
39,Landing Page Submission,Google,No,No,1,6,1092,3.0,Page Visited on Website,Finance Management,Unemployed,No,No,No,No,No,No,15.0,18.0,No,0.5616122581482518,654275,0,Cold
40,API,Google,No,No,1,2,188,2.0,Page Visited on Website,Marketing Management,Unemployed,No,No,No,No,No,No,15.0,15.0,No,0.24645651836223006,653449,5,Cold
41,API,Google,No,No,0,5,150,1.67,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.033193957856299916,628580,5,Cold
42,API,Organic Search,No,No,1,4,976,4.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.6427910273888877,613852,0,Medium
43,Landing Page Submission,Direct Traffic,No,No,1,5,484,5.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,12.0,18.0,No,0.17756506600878885,594428,0,Cold
44,Landing Page Submission,Google,No,No,1,3,1646,3.0,SMS Sent,OTROS,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.8871508218714188,608183,0,Hot
45,Landing Page Submission,Google,No,No,0,4,347,4.0,Email Opened,Media and Advertising,Unemployed,No,No,No,No,No,No,13.0,17.0,No,0.0914346420364274,590747,2,Cold
46,Landing Page Submission,Google,No,No,0,5,132,5.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,13.0,18.0,No,0.20715325588707154,593852,3,Cold
47,API,Google,No,No,0,2,165,1.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.22421560955758207,589611,5,Cold
48,API,Google,No,No,0,1,263,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,14.0,No,0.025481087894511194,659182,5,Cold
49,Landing Page Submission,Google,No,No,0,5,44,2.5,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.08150153392319506,610290,2,Cold
50,Landing Page Submission,Google,No,No,0,6,58,6.0,SMS Sent,International Business,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.21655699769834771,600595,3,Cold
51,Landing Page Submission,Google,No,No,0,10,407,2.5,Email Opened,Finance Management,Working Professional,No,No,No,No,No,No,17.0,18.0,Yes,0.9719874694211265,590182,4,Hot
52,API,Chat,No,No,1,0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No,0.1298522476062394,584286,5,Cold
53,API,Chat,No,No,0,0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.03872116681034586,601034,5,Cold
54,Landing Page Submission,Direct Traffic,No,No,1,2,1486,2.0,SMS Sent,IT Projects Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.8326008766122127,614038,0,Hot
55,API,Chat,No,No,0,0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No,0.3491661983183239,582472,1,Cold
56,API,Chat,No,No,1,0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.1264941648983334,621277,1,Cold
57,Landing Page Submission,Direct Traffic,No,No,0,1,44,1.0,Converted to Lead,Business Administration,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.018626946609460373,632028,3,Cold
58,Landing Page Submission,Google,No,No,1,3,1111,1.5,SMS Sent,Operations Management,Unemployed,No,No,No,No,No,No,15.0,16.0,No,0.8401655799327413,583042,0,Hot
59,Landing Page Submission,Direct Traffic,No,No,1,5,210,2.5,SMS Sent,Business Administration,Unemployed,No,No,No,No,No,No,14.0,20.0,No,0.4769808152096815,579615,0,Cold
60,Landing Page Submission,Organic Search,No,No,0,4,74,4.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.09071874089743846,608857,2,Cold
61,Landing Page Submission,Google,No,No,1,6,1169,6.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.7317412697529797,628209,0,Medium
62,Lead Add Form,Reference,No,No,0,3,1201,2.4,OTROS,Marketing Management,Unemployed,No,No,No,No,No,No,13.0,18.0,No,0.9454024350800605,587973,5,Hot
63,Landing Page Submission,Google,No,No,0,2,63,2.0,OTROS,Marketing Management,Unemployed,No,No,No,No,No,No,9.0,19.0,No,0.004776314647695681,582718,3,Cold
64,Landing Page Submission,Google,No,No,0,3,260,3.0,OTROS,Business Administration,Unemployed,No,No,No,No,No,No,9.0,17.0,No,0.0041701772015971745,589866,3,Cold
65,API,Organic Search,No,No,0,4,32,4.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No,0.033843061899811545,637265,1,Cold
66,API,Google,No,No,1,2,43,1.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No,0.14077800705794227,647918,1,Cold
67,Landing Page Submission,Google,No,No,0,2,1446,2.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.5914773367960902,615885,2,Cold
68,API,Google,No,No,0,2,1409,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.5720164942525793,631155,1,Cold
69,Lead Add Form,Reference,No,No,1,0,0,0.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.8515844136960673,614498,0,Hot
70,Landing Page Submission,Direct Traffic,No,No,0,6,211,6.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.10795912759615993,593570,2,Cold
71,Lead Add Form,Reference,No,No,1,0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.6569225473551692,633842,0,Medium
72,API,Google,No,No,1,2,30,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.22039157180862512,612745,0,Cold
73,Landing Page Submission,Direct Traffic,No,No,0,2,222,2.0,Email Link Clicked,Operations Management,Unemployed,No,No,No,No,No,No,12.0,17.0,Yes,0.025578887852731966,637465,3,Cold
74,Landing Page Submission,Google,No,No,0,3,1321,3.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,13.0,18.0,No,0.45366453656655514,635026,2,Cold
75,Landing Page Submission,OTROS,No,No,0,11,685,5.5,Email Opened,OTROS,Unemployed,No,No,No,No,No,No,11.0,13.0,Yes,0.023591622711756306,659937,2,Cold
76,Landing Page Submission,Direct Traffic,No,No,0,2,531,2.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,14.0,17.0,Yes,0.17660483545492406,590945,2,Cold
77,Landing Page Submission,Organic Search,No,No,1,11,1116,3.67,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,16.0,18.0,Yes,0.9407999182285197,581456,0,Hot
78,Lead Add Form,Reference,No,No,1,0,0,0.0,Email Opened,Finance Management,Working Professional,No,No,No,No,No,No,14.0,16.0,No,0.9582117875727303,595881,4,Hot
79,Landing Page Submission,Direct Traffic,No,No,0,4,217,4.0,Email Opened,OTROS,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes,0.16294772504089286,596284,2,Cold
80,Landing Page Submission,Google,No,No,0,4,1277,4.0,Email Opened,International Business,Unemployed,No,No,No,No,No,No,14.0,18.0,No,0.5998457935510517,651732,2,Cold
81,Lead Add Form,Reference,No,No,1,0,0,0.0,Email Link Clicked,Finance Management,Working Professional,No,No,No,No,No,No,14.0,19.0,No,0.9780196551578524,637010,4,Hot
82,Landing Page Submission,Direct Traffic,No,No,1,5,788,5.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No,0.3763784109573383,645889,2,Cold
83,Landing Page Submission,Google,No,No,1,3,1052,3.0,Email Opened,IT Projects Management,Working Professional,No,No,No,No,No,No,14.0,16.0,No,0.9238481326234456,605693,4,Hot
84,Landing Page Submission,Direct Traffic,No,No,0,5,296,5.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.10315800264948057,617071,2,Cold
85,API,Google,No,No,0,4,229,1.33,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No,0.048927432785598225,626092,1,Cold
86,Landing Page Submission,Direct Traffic,No,No,1,2,980,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,13.0,18.0,Yes,0.2338155410734371,652410,2,Cold
87,Lead Add Form,Reference,No,No,1,3,266,2.4,OTROS,Supply Chain Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.795814756358623,599501,5,Hot
88,Landing Page Submission,Google,No,No,1,5,987,2.5,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.3535767647769151,623161,2,Cold
89,Landing Page Submission,Google,No,No,0,5,160,5.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,17.0,18.0,No,0.663523375292457,660070,2,Medium
90,API,Google,No,No,0,2,270,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.12935129126887326,631704,1,Cold
91,Landing Page Submission,Direct Traffic,No,No,0,3,65,3.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.07858331628646398,608049,2,Cold
92,API,Chat,No,No,1,0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.30446826648913794,603315,0,Cold
93,Landing Page Submission,Organic Search,No,No,1,5,1019,5.0,SMS Sent,OTROS,Working Professional,No,No,No,No,No,No,14.0,16.0,Yes,0.9597338393250573,615878,4,Hot
94,Landing Page Submission,OTROS,No,No,1,5,1342,5.0,Email Opened,Marketing Management,Working Professional,No,No,No,No,No,No,13.0,15.0,Yes,0.856114664588363,654567,4,Hot
95,Landing Page Submission,Google,No,No,1,3,1622,3.0,Email Opened,IT Projects Management,Unemployed,No,No,No,No,No,No,15.0,15.0,No,0.8374362451956225,643198,2,Hot
96,Landing Page Submission,Google,No,No,0,4,266,4.0,Email Opened,OTROS,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.1268892437289906,638453,2,Cold
97,Lead Add Form,Reference,No,No,1,0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,15.0,17.0,No,0.8404793161708947,641481,0,Hot
98,Landing Page Submission,Direct Traffic,No,No,0,3,1127,3.0,SMS Sent,Travel and Tourism,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.642387856407401,609130,3,Medium
99,Landing Page Submission,Direct Traffic,No,No,0,3,1409,1.5,Converted to Lead,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.20099933442156062,617676,3,Cold
100,Lead Add Form,Reference,No,No,1,3,1159,2.4,OTROS,Supply Chain Management,Working Professional,No,No,No,No,No,No,14.0,20.0,No,0.9985391427746516,581257,4,Hot
101,API,Chat,No,No,0,0,0,0.0,Email Link Clicked,Select,Unemployed,No,No,No,No,No,No,17.0,15.0,No,0.5248267334053645,641957,5,Cold
102,Landing Page Submission,Google,No,No,0,2,18,2.0,OTROS,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.0827600999484373,602233,3,Cold
103,Landing Page Submission,Direct Traffic,No,No,0,6,353,6.0,Email Opened,OTROS,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.13944060090936797,609429,2,Cold
104,Lead Add Form,OTROS,No,No,1,0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,15.0,16.0,No,0.8284526955852842,640115,0,Hot
105,API,Google,No,No,1,2,1014,1.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No,0.8747983402351238,647930,0,Hot
106,Lead Add Form,Reference,No,No,0,0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No,0.7084493908326241,587365,5,Medium
107,API,Google,No,No,1,2,1159,1.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.39404345568571086,581157,1,Cold
108,Landing Page Submission,Google,No,No,0,3,1314,3.0,Page Visited on Website,Operations Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.3663638368451429,633777,3,Cold
109,API,Google,No,No,0,2,1619,2.0,Email Opened,Select,Student,No,No,No,No,No,No,14.0,16.0,No,0.7533919267539689,602640,1,Medium
110,Landing Page Submission,Direct Traffic,No,No,0,1,858,1.0,Converted to Lead,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes,0.1343831245309091,589033,3,Cold
111,API,Google,No,No,0,3,213,1.5,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.06180493186167493,606428,5,Cold
112,Lead Add Form,Reference,No,No,1,3,1835,2.4,OTROS,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No,0.9701082044531171,644000,5,Hot
113,Landing Page Submission,Direct Traffic,No,No,1,2,739,2.0,SMS Sent,Finance Management,Working Professional,No,No,No,No,No,No,14.0,18.0,Yes,0.9381974877246118,581796,4,Hot
114,Landing Page Submission,Google,No,No,0,5,1298,5.0,Email Opened,OTROS,Unemployed,No,No,No,No,No,No,15.0,20.0,No,0.8851612158586039,582654,2,Hot
115,Landing Page Submission,Google,No,No,1,8,422,1.6,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.3918972364649595,600528,0,Cold
116,Landing Page Submission,Direct Traffic,No,No,1,3,122,3.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.07899105620359048,597708,2,Cold
117,Landing Page Submission,Direct Traffic,No,No,0,2,498,2.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.13688298805294286,627793,2,Cold
118,Landing Page Submission,Direct Traffic,No,No,0,3,126,3.0,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,17.0,Yes,0.09533550922083309,635434,2,Cold
119,API,Google,No,No,1,4,1656,2.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,16.0,No,0.7437402559533122,630331,5,Medium
120,Landing Page Submission,Organic Search,No,No,1,9,846,9.0,SMS Sent,OTROS,Unemployed,No,No,No,No,No,No,16.0,16.0,Yes,0.8760131950031799,591722,0,Hot
121,Landing Page Submission,Direct Traffic,No,No,1,3,1385,3.0,Email Opened,Human Resource Management,Student,No,No,No,No,No,No,14.0,16.0,No,0.6050838520670004,603637,2,Cold
122,API,Google,No,No,1,2,1105,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No,0.7934168396819525,591717,0,Hot
123,Landing Page Submission,Google,No,No,0,6,779,3.0,Email Opened,OTROS,Unemployed,No,No,No,No,No,No,13.0,18.0,No,0.27532467738531596,651866,2,Cold
124,API,Organic Search,No,No,1,15,914,5.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.854103207987282,598532,0,Hot
125,API,OTROS,No,No,0,5,253,1.67,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No,0.08945418552317029,656493,1,Cold
126,Landing Page Submission,Organic Search,No,No,1,4,300,2.0,SMS Sent,Media and Advertising,Working Professional,No,No,No,No,No,No,13.0,17.0,Yes,0.7324472115660763,590388,4,Medium
127,Landing Page Submission,Direct Traffic,No,No,0,2,438,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes,0.31306798752186094,592857,2,Cold
128,Landing Page Submission,Google,No,No,0,3,1334,3.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,17.0,No,0.567937279921666,642278,2,Cold
129,Landing Page Submission,Organic Search,No,No,0,3,24,3.0,Converted to Lead,Supply Chain Management,Student,No,No,No,No,No,No,16.0,16.0,Yes,0.14078824050635574,632233,3,Cold
130,Landing Page Submission,Google,No,No,0,3,192,3.0,Email Opened,International Business,Unemployed,No,No,No,No,No,No,14.0,17.0,No,0.12549055487774427,658458,2,Cold
131,API,Chat,No,No,0,0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.03872116681034586,604390,5,Cold
132,API,Organic Search,No,No,0,9,413,4.5,Email Opened,OTROS,Unemployed,No,No,No,No,No,No,14.0,11.0,Yes,0.1674746616329793,644390,1,Cold
133,API,Organic Search,No,No,0,6,224,6.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.052385393237328194,659784,5,Cold
134,Landing Page Submission,Direct Traffic,No,No,0,4,419,1.33,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.12921160233362713,616225,2,Cold
135,API,Google,No,No,1,2,485,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No,0.4951277143914275,645483,1,Cold
136,API,Chat,No,No,0,0,0,0.0,Email Link Clicked,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.12087635344508416,629916,5,Cold
137,API,Google,No,No,0,7,333,7.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.12491873564406937,655021,1,Cold
138,Landing Page Submission,Direct Traffic,No,No,1,6,464,6.0,SMS Sent,Travel and Tourism,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.34368733514310584,602617,0,Cold
139,Lead Add Form,Reference,No,No,1,3,1261,2.4,OTROS,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No,0.9147255729281498,639246,5,Hot
140,Landing Page Submission,Direct Traffic,No,No,1,7,1003,2.33,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes,0.4356105102045757,623915,2,Cold
141,Landing Page Submission,Organic Search,No,No,0,3,599,3.0,SMS Sent,OTROS,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.4597843384629308,627749,3,Cold
142,API,Google,No,No,1,2,1227,1.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No,0.6165046307190762,641170,1,Cold
143,API,Direct Traffic,No,No,0,10,491,3.33,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.1845057780709169,617146,1,Cold
144,API,Google,No,No,0,2,2,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No,0.0887027360201033,633392,5,Cold
145,Landing Page Submission,Organic Search,No,No,0,9,1063,3.0,Page Visited on Website,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.2285684091971324,619210,3,Cold
146,API,OTROS,No,No,0,7,166,7.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,13.0,No,0.1566377599837571,651599,1,Cold
147,Landing Page Submission,Organic Search,No,No,1,8,205,2.67,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.23809850324486667,628419,0,Cold
148,Landing Page Submission,Direct Traffic,No,No,0,1,471,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,16.0,17.0,No,0.09705562005771026,645818,3,Cold
149,Landing Page Submission,Direct Traffic,No,No,0,2,761,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,13.0,19.0,Yes,0.20245498528062064,580449,2,Cold
150,API,Google,No,No,1,2,1794,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.8699579017507608,643789,0,Hot
151,Landing Page Submission,Organic Search,No,No,0,10,1318,2.5,SMS Sent,International Business,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.7314386749886682,628963,3,Medium
152,Landing Page Submission,Direct Traffic,No,No,1,3,1298,3.0,SMS Sent,Supply Chain Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.7094795636137751,593953,0,Medium
153,API,Google,No,No,0,4,230,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.12421196729314699,604075,1,Cold
154,API,Chat,No,No,0,0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.10242427399867536,633013,1,Cold
155,Landing Page Submission,Direct Traffic,No,No,0,5,1224,5.0,SMS Sent,Business Administration,Unemployed,No,No,No,No,No,No,13.0,18.0,No,0.6486513746766183,592345,3,Medium
156,Landing Page Submission,Google,No,No,0,20,1334,2.0,Page Visited on Website,IT Projects Management,Unemployed,No,No,No,No,No,No,11.0,15.0,Yes,0.06483151119646093,590620,3,Cold
157,API,Google,No,No,1,3,1292,3.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.4604652393163738,654441,1,Cold
